date,cumulative_return
2022-04-06,0.7150546375547218
2022-04-07,0.6986216069402105
2022-04-08,0.6859403959182198
2022-04-11,0.6828490521469992
2022-04-12,0.6575039897475872
2022-04-13,0.6546688685140212
2022-04-14,0.6497105133177974
2022-04-18,0.6539244887595401
2022-04-19,0.6500202069467116
2022-04-20,0.6643219653278889
2022-04-21,0.5870989419850423
2022-04-22,0.5637618594363212
2022-04-25,0.5847247422124755
2022-04-26,0.636916186149417
2022-04-27,0.6570859150572459
2022-04-28,0.7215410210641708
2022-04-29,0.6744185925288717
2022-05-02,0.6879719098900328
2022-05-03,0.6850613971309614
2022-05-04,0.6763471899374462
2022-05-05,0.6847147115326375
2022-05-06,0.6845505318931635
2022-05-09,0.683171223028636
2022-05-10,0.7013266948998935
2022-05-11,0.7249041611847924
2022-05-12,0.7083680445835325
2022-05-13,0.7404024334452648
2022-05-16,0.7698211217514026
2022-05-17,0.7711059100351814
2022-05-18,0.7710148637019678
2022-05-19,0.7811896651965604
2022-05-20,0.8159827547076073
2022-05-23,0.8120520214599332
2022-05-24,0.8348923134900952
2022-05-25,0.8367380647878939
2022-05-26,0.8566058320597822
2022-05-27,0.874775718835652
2022-05-31,0.8799727840636447
2022-06-01,0.8755472505880493
2022-06-02,0.8542861550072252
2022-06-03,0.8101014079275553
2022-06-06,0.821427102030919
2022-06-07,0.8169481681697848
2022-06-08,0.8414082091810551
2022-06-09,0.8628540665377498
2022-06-10,0.8892108519273172
2022-06-13,0.8959744222039687
2022-06-14,0.9071493105039161
2022-06-15,0.895529121842366
2022-06-16,0.8667607581876018
2022-06-17,0.8660738019267644
2022-06-21,0.8181674464399316
2022-06-22,0.8104892441342046
2022-06-23,0.8069074366700963
2022-06-24,0.816217712080797
2022-06-27,0.8054782007858976
2022-06-28,0.8032221014317831
2022-06-29,0.7945336681632547
2022-06-30,0.7882205559656368
2022-07-01,0.7395969868345862
2022-07-05,0.7437755352656406
2022-07-06,0.758452931846737
2022-07-07,0.7521614075973102
2022-07-08,0.7287715384225073
2022-07-11,0.7479298758021145
2022-07-12,0.7463520782274395
2022-07-13,0.7353603107343729
2022-07-14,0.7272326359869936
2022-07-15,0.7117017037432567
2022-07-18,0.6950320923044164
2022-07-19,0.665668420863182
2022-07-20,0.6323926548228713
2022-07-21,0.701112518416714
2022-07-22,0.7371958993811438
2022-07-25,0.7398573489807168
2022-07-26,0.7339108562685142
2022-07-27,0.7214537493307236
2022-07-28,0.7310956059538332
2022-07-29,0.6887381202815166
2022-08-01,0.675310896088168
2022-08-02,0.6690133246611867
2022-08-03,0.666618501167741
2022-08-04,0.654911596626313
2022-08-05,0.6097965339608242
2022-08-08,0.6667776850958511
2022-08-09,0.6531716455668395
2022-08-10,0.6356183385638257
2022-08-11,0.6211205832567619
2022-08-12,0.6244021520418876
2022-08-15,0.6355068492229199
2022-08-16,0.6348021588847712
2022-08-17,0.651506686067548
2022-08-18,0.6287341231323835
2022-08-19,0.6521132492366624
2022-08-22,0.6710362402055088
2022-08-23,0.6585740695580835
2022-08-24,0.6587545412174249
2022-08-25,0.6217789168965975
2022-08-26,0.567973363136387
2022-08-29,0.5547553191542236
2022-08-30,0.5577805389137427
2022-08-31,0.5448309687874893
2022-09-01,0.4812911911234845
2022-09-02,0.48442889683488843
2022-09-06,0.46295122039617875
2022-09-07,0.45198056874280246
2022-09-08,0.45238148295245395
2022-09-09,0.44680246128190415
2022-09-12,0.4413011772139279
2022-09-13,0.402145533016913
2022-09-14,0.37683457310797985
2022-09-15,0.3637930843027015
2022-09-16,0.3788961328738525
2022-09-19,0.3754671355648078
2022-09-20,0.36567484358259783
2022-09-21,0.38762454390350065
2022-09-22,0.3791195316411633
2022-09-23,0.40838456158631553
2022-09-26,0.3904220808683809
2022-09-27,0.38349778403991963
2022-09-28,0.38955736679803743
2022-09-29,0.3696776215497366
2022-09-30,0.36666467041268813
2022-10-03,0.44587011091396245
2022-10-04,0.4627070193217262
2022-10-05,0.49034572551132216
2022-10-06,0.49417672028954307
2022-10-07,0.5061698047846572
2022-10-10,0.531086512275339
2022-10-11,0.5144227652696027
2022-10-12,0.5226383161541406
2022-10-13,0.5366004065381902
2022-10-14,0.5249417130672758
2022-10-17,0.5334752458531316
2022-10-18,0.5313097825426156
2022-10-19,0.5323615797632584
2022-10-20,0.4723270758326801
2022-10-21,0.4813149867991189
2022-10-24,0.462444875078023
2022-10-25,0.4626213964321584
2022-10-26,0.4900904432021689
2022-10-27,0.47538628635862756
